1,-48
2,-46
3,-43
4,-40
5,-36
6,-32
7,-28
8,-25
9,-21
10,-21
11,-18
12,-19
13,-19
14,-21
15,-23
16,-23
17,-24
18,-25
19,-27
20,-28
21,-30
22,-30
23,-31
24,-30
25,-28
26,-26
27,-24
28,-21
29,-19
30,-16
31,-15
32,-14
33,-15
34,-16
35,-18
36,-22
37,-25
38,-28
39,-31
40,-33
41,-36
42,-38
43,-38
44,-39
45,-38
46,-37
47,-35
48,-33
49,-31
50,-29
51,-28
52,-27
53,-26
54,-26
55,-24
56,-23
57,-21
58,-19
59,-16
60,-13
61,-12
62,-9
63,-6
64,-4
65,0
66,3
67,5
68,6
69,5
70,3
71,1
72,-1
73,-3
74,-5
75,-7
76,-10
77,-14
78,-19
79,-24
80,-29
81,-36
82,-41
83,-48
84,-54
85,-61
86,-68
87,-76
88,-84
89,-92
90,-99
91,-108
92,-115
93,-123
94,-130
95,-136
96,-142
97,-146
98,-151
99,-154
100,-158
101,-161
102,-165
103,-168
104,-172
105,-176
106,-178
107,-179
108,-179
109,-178
110,-178
111,-176
112,-174
113,-173
114,-171
115,-170
116,-171
117,-171
118,-172
119,-173
120,-171
121,-168
122,-163
123,-157
124,-152
125,-149
126,-147
127,-148
128,-149
129,-153
130,-155
131,-156
132,-156
133,-153
134,-149
135,-144
136,-140
137,-137
138,-134
139,-132
140,-131
141,-128
142,-126
143,-123
144,-119
145,-118
146,-115
147,-113
148,-111
149,-109
150,-106
151,-103
152,-101
153,-99
154,-98
155,-98
156,-98
157,-99
158,-98
159,-99
160,-100
161,-100
162,-101
163,-101
164,-101
165,-101
166,-100
167,-98
168,-93
169,-89
170,-83
171,-78
172,-74
173,-69
174,-64
175,-60
176,-55
177,-51
178,-47
179,-44
180,-41
181,-38
182,-34
183,-32
184,-28
185,-24
186,-21
187,-17
188,-14
189,-11
190,-8
191,-6
192,-3
193,-2
194,-2
195,-1
196,0
197,1
198,1
199,3
200,4
201,8
202,9
203,11
204,14
205,16
206,19
207,22
208,26
209,29
210,33
211,36
212,38
213,38
214,37
215,36
216,36
217,34
218,33
219,31
220,28
221,24
222,20
223,14
224,11
225,7
226,3
227,3
228,3
229,3
230,5
231,6
232,8
233,10
234,13
235,14
236,18
237,21
238,24
239,27
240,29
241,34
242,38
243,43
244,47
245,51
246,54
247,57
248,59
249,61
250,63
251,67
252,71
253,78
254,84
255,91
256,96
257,101
258,103
259,104
260,103
261,100
262,97
263,93
264,88
265,84
266,79
267,75
268,70
269,63
270,54
271,43
272,29
273,13
274,-6
275,-26
276,-46
277,-63
278,-78
279,-88
280,-96
281,-101
282,-103
283,-104
284,-107
285,-109
286,-113
287,-119
288,-126
289,-134
290,-143
291,-153
292,-161
293,-171
294,-178
295,-185
296,-191
297,-194
298,-197
299,-198
300,-198
301,-200
302,-200
303,-201
304,-202
305,-203
306,-204
307,-204
308,-203
309,-203
310,-203
311,-203
312,-204
313,-205
314,-204
315,-204
316,-204
317,-203
318,-202
319,-201
320,-198
321,-196
322,-191
323,-187
324,-183
325,-180
326,-178
327,-178
328,-179
329,-181
330,-184
331,-185
332,-186
333,-186
334,-184
335,-181
336,-179
337,-176
338,-173
339,-170
340,-166
341,-161
342,-157
343,-151
344,-146
345,-141
346,-135
347,-131
348,-127
349,-123
350,-119
351,-115
352,-111
353,-107
354,-103
355,-100
356,-98
357,-96
358,-96
359,-94
360,-93
361,-91
362,-90
363,-88
364,-85
365,-83
366,-80
367,-78
368,-76
369,-74
370,-73
371,-73
372,-73
373,-72
374,-71
375,-70
376,-68
377,-66
378,-63
379,-61
380,-58
381,-55
382,-51
383,-48
384,-43
385,-39
386,-36
387,-33
388,-31
389,-28
390,-24
391,-21
392,-17
393,-11
394,-6
395,0
396,4
397,8
398,10
399,13
400,14
401,16
402,16
403,15
404,14
405,12
406,10
407,8
408,7
409,6
410,7
411,9
412,12
413,17
414,21
415,28
416,34
417,41
418,48
419,53
420,59
421,64
422,68
423,72
424,76
425,79
426,79
427,79
428,77
429,74
430,70
431,65
432,61
433,56
434,51
435,47
436,43
437,38
438,33
439,29
440,25
441,23
442,21
443,21
444,23
445,23
446,24
447,26
448,26
449,26
450,26
451,26
452,25
453,25
454,26
455,26
456,27
457,26
458,27
459,27
460,26
461,25
462,23
463,19
464,15
465,10
466,3
467,-3
468,-11
469,-19
470,-26
471,-34
472,-41
473,-48
474,-54
475,-59
476,-63
477,-66
478,-69
479,-72
480,-74
481,-78
482,-79
483,-81
484,-81
485,-81
486,-81
487,-78
488,-77
489,-76
490,-76
491,-76
492,-79
493,-81
494,-84
495,-87
496,-91
497,-94
498,-98
499,-101
500,-103
501,-103
502,-103
503,-102
504,-101
505,-99
506,-98
507,-98
508,-99
509,-101
510,-104
511,-108
512,-113
513,-118
514,-123
515,-128
516,-133
517,-136
518,-139
519,-141
520,-141
521,-140
522,-138
523,-135
524,-134
525,-133
526,-131
527,-130
528,-128
529,-126
530,-126
531,-123
532,-123
533,-122
534,-122
535,-122
536,-123
537,-121
538,-120
539,-119
540,-116
541,-116
542,-114
543,-113
544,-111
545,-109
546,-106
547,-104
548,-101
549,-97
550,-94
551,-91
552,-89
553,-88
554,-87
555,-88
556,-91
557,-93
558,-94
559,-97
560,-99
561,-101
562,-103
563,-104
564,-106
565,-108
566,-108
567,-108
568,-107
569,-106
570,-104
571,-103
572,-101
573,-99
574,-97
575,-94
576,-92
577,-89
578,-85
579,-81
580,-77
581,-71
582,-66
583,-60
584,-54
585,-49
586,-44
587,-40
588,-38
589,-35
590,-33
591,-33
592,-32
593,-32
594,-33
595,-34
596,-36
597,-38
598,-38
599,-37
600,-33
601,-26
602,-18
603,-8
604,3
605,13
606,23
607,30
608,35
609,39
610,41
611,41
612,41
613,38
614,33
615,29
616,23
617,17
618,11
619,5
620,-2
621,-8
622,-15
